MlsNumber,PublicRemarks,Bathrooms,Bedrooms,InteriorSize,Type,Ammenities,Address,Longitude,Latitude,PostalCode,NeighbourHood,Price,PropertyType,ParkingSpace,OwnershipType,Appliances,FlooringType,BasementType,HeatingType,LandSize,AmmenitiesNearBy,PropertyTax,ZoningDescription,LowResPhoto
"C5167600","Prestigious Tridel-Skyview Condo Fully Renovated W/80K Spent! Huge 948 Sqft Unit Includes Parking & Ensuite Locker. Open Concept Kitchen W/Quartz Counters+Backsplash,Porcelain Tiles, Ss Appl,Eng Hardwd Flring Thruout,Den Can Be 2nd Bdrm.Huge Master Bdrm W/Custom Builtin Closet. Luxury Bath W/Marble Floor+Wall Tiles! 24 Hr Concierge, Lots Visitor Parking. 4Min Walk To Subway, Guest Suites, Gym, Indoor/Outdoor Pools, Tennis/Squash Crt, Bbq In Garden, Must See!**** EXTRAS **** All Window Coverings, All Elfs, Fridge, Stove, Dishwasher, Washer & Dryer. Pot Lights, Marble Floor And Marble Wall Bathroom! Custom Closets, Den Can Be Second Bedroom, Huge Ensuite Storage + 1 Parking. Maintenance Includes Water + Cable (28148667)","1","1 + 1",,"Apartment",,"#110 -5444 YONGE ST|Toronto, Ontario M2N6J4","-79.4156424","43.7764619","M2N6J4","Willowdale West","$595,000 ","Single Family","1","Condominium/Strata",,,,"Forced air (Natural gas)",,"Park, Public Transit, Schools","$1,841.10",,"https://cdn.realtor.ca/listing/TS637522934857670000/reb82/highres/0/c5167600_1.jpg"
"W5167168","Welcome To Uptown Living; Transit And Shopping Driven Toronto! This Contemporary North Facing 2 Bedroom 2 Bathroom Features A Functional Living Space, Upgraded Appliances, A View With No Obstruction Surrounded By Transit, Shopping Malls, Schools And Much More! The Property Boasts Floor To Ceiling Windows, Lots Of Sunlight, Natural & Neutral Colour Swatch With Granite Counter Tops, Glass Backsplash And So Much More!**** EXTRAS **** Steps To Subway Station, 2 Minutes From Highway 401, 2 Minutes From Yorkdale Mall. Vibrant Upcoming Neighbourhood. Stainless Steel Appliances, White Washer & Dryer. Window Coverings, Electric Light Fixtures. Includes 1 Parking & 1 Locker. (28147222)","2","2",,"Apartment","Storage - Locker","#1005 -160 FLEMINGTON RD|Toronto, Ontario M6A1N6","-79.4479298","43.7229883","M6A1N6","Yorkdale-Glen Park","$499,990 ","Single Family","1","Condominium/Strata",,,,"Forced air (Natural gas)",,,"$2,350.84",,"https://cdn.realtor.ca/listing/TS637522836487730000/reb82/highres/8/w5167168_1.jpg"
"W5167011","!!! Yes Its Is Priced Right !!! Wow This Is A Must See, An Absolute Show Stopper! Priced To Sell Immediately!! Mattamy's Saturday! Boutique Condo Located Inside Downsview Park! Beautiful Unit,1 Bedroom Plus Den . Modern Kitchen W/S.S. Appliances, & Quartz Counters. This Is A Lifestyle!! Enjoy Amenities Including Full Size Gym, Fitness Rm W/ Yoga Studio, Party Rm (Indoor/Outdoor), Bbq, Area, Pet Wash Area& 24 Hour Concierge. Upgraded Pot Lights!**** EXTRAS **** 1 Under Ground Car Parking And 1 Exclusive Locker! Walk Out The Door To Enjoy The Massive Downsview Park, Subway Station & Local Amenities Are Steps Away. Includes: Fridge, Stove, D/W, Stackable W/D. (28147031)","1","1 + 1",,"Apartment","Storage - Locker","#115 -60 GEORGE BUTCHART DR|Toronto, Ontario M3K2C5","-79.4826475","43.7358394","M3K2C5","Downsview-Roding-CFB","$559,000 ","Single Family","1","Condominium/Strata",,,,"Forced air (Natural gas)",,,"$0",,"https://cdn.realtor.ca/listing/TS637522836381570000/reb82/highres/1/w5167011_1.jpg"
"W5166644","Newly Painted 2 Bedroom, 1 Bathroom W/Practical Layout, Good Size Bdr's S/S Appliance, Freshly Painted W/Designer Colors, Ensuite Washer/Dryer. New Building,Great Location Of Downsview/Toronto. Steps From Downsview Park. Nearby State Of The Art Humber River Hospital. Close To All Amenities, Ttc Bus Stop, Nearby Yorkdale Mall, Schools, Subway Station, Library, Shopping, Medical Center. Easy Access To 401/400 Allen Rd, Very Clean And Quite Building .**** EXTRAS **** S/S Fridge, S/S Stove, S/S Built-In Dishwasher, S/S Microwave, Washer & Dryer, All Light Fixtures, Including One Parking Valued Of $36,000 (28146557)","1","2",,"Apartment","Party Room, Exercise Centre, Recreation Centre","#619 -2800 KEELE ST|Toronto, Ontario M3M0B8","-79.482956","43.7287225","M3M0B8","Downsview-Roding-CFB","$598,800 ","Single Family","1","Condominium/Strata",,,,"Forced air (Natural gas)",,"Schools","$2,047.56",,"https://cdn.realtor.ca/listing/TS637522836000170000/reb82/highres/4/w5166644_1.jpg"
"W5166604","Meticulously Maintained & Chic Design 1 Bed+Den W/ Parking! Open Concept High Ceiling Se Exposure, Wall To Wall Balcony W/ Both City & Park Views. Sun-Filled Master Bedroom W/ Walk-In Closet, Laminate Flooring, Functional Kitchen W/ S/S Appliances, Large Counter Space, Breakfast Bar, Private Den W/ Barn Door - Can Be Used As Office, Nursery, 2nd Bedroom, Etc. Steps To Subway, Yorkdale Mall, York University, Downsview Park, Highway, Groceries And Much More!!!**** EXTRAS **** S/S Refrigerator, Dishwasher, Stove, Built-In Microwave & Hood, Washer & Dryer, All Existing Light Fixtures & Window Coverings. Amenities: Pool, Sauna W/Whirlpool, Party Room, Theatre/Media Room, Gym, Golf Simulator, 24Hr Concierge (28146508)","1","1 + 1",,"Apartment","Security/Concierge, Party Room, Sauna, Exercise Centre","#1506 -1060 SHEPPARD AVE W|Toronto, Ontario M3J0G7","-79.4640453","43.7504713","M3J0G7","York University Heights","$549,900 ","Single Family","1","Condominium/Strata",,,,,,"Park, Public Transit, Schools","$1,883.08",,"https://cdn.realtor.ca/listing/TS637522835983200000/reb82/highres/4/w5166604_1.jpg"
"C5166780","Bright And Spacious Unit Recently Updated With New Engineered Hardwood Floors And Freshly Painted. One Bedroom Plus Den, Almost 700 Sq.Ft. With Walk-Out To Balcony From Both The Living Room And Master Bedroom * Balcony Expands The Total Width Of The Unit * French Doors Lead To Den Or Second Bedroom * Owned Locker And Parking Spot * Steps Away From All Amenities.**** EXTRAS **** Fridge * Stove * Dishwasher * Washer/Dryer * All Electrical Light Fixtures * French Doors. (28146164)","2","1 + 1",,"Apartment","Storage - Locker, Security/Concierge, Party Room, Exercise Centre","#703 -8 REAN DR|Toronto, Ontario M2K3B9","-79.3829416","43.765965","M2K3B9","Bayview Village","$549,000 ","Single Family","1","Condominium/Strata",,,,"Forced air (Natural gas)",,"Hospital, Park, Public Transit, Schools","$1,907.06",,"https://cdn.realtor.ca/listing/TS637522832124700000/reb82/highres/0/c5166780_1.jpg"
"C5167244","Luxury Mona Lisa Condo In Prime North York Yonge And Finch Location. One Bedroom Plus Den. 9Ft Ceiling. Unobstructed East View. 9 Ft Ceiling With Best East View. Amenities: Indoor Pool, Gym And Exercise Room, Party Room, Billiards And Games Room, Movie Theatre, Study Room.  Walk To Shopping Malls, Restaurants, Community Centre, Ttc, Employment Building.1 Parking And 1 Locker Included.**** EXTRAS **** Fridge, Stove, B/I Dishwasher, Washer & Dryer, Microwave With Range Hood. (28146705)","1","1 + 1",,"Apartment","Storage - Locker, Security/Concierge, Party Room, Exercise Centre","#1015 -18 HOLMES AVE|Toronto, Ontario M2N4L9","-79.4133299","43.7784859","M2N4L9","Willowdale East","$549,000 ","Single Family","1","Condominium/Strata",,,,"Forced air (Natural gas)",,"Hospital, Park, Public Transit, Ski area","$1,949.04",,"https://cdn.realtor.ca/listing/TS637522832244670000/reb82/highres/4/c5167244_1.jpg"
"W5166692","Renovated Condo With Three (3) Large Sized Bedrooms. Many Renovations Done In 2019 - Kitchen Including Quartz Countertop, Flooring Redone Throughout, Led Potlights Installed, Bathrooms Completely Redone. Completely Repainted In Neutral Colours. Nothing Left To Do But Move In. Spacious Balcony With Gorgeous East Facing Panoramic View. Great Location In Toronto- Easy Access To Hwys, Close To Schools, Plaza, Public Transit.**** EXTRAS **** Includes: Stainless Steel Fridge, S/S Stove, Washer, Dryer, And All Elf's. Maintenance Includes Utilities + Cable. Tandem Parking Spot Fits 2 Cars Comfortably. (28146619)","2","3",,"Apartment","Security/Concierge, Exercise Centre","#725 -2645 JANE ST|Toronto, Ontario M3L2J3","-79.5113598","43.7377398","M3L2J3","Glenfield-Jane Heights","$424,900 ","Single Family","2","Condominium/Strata",,,,"Forced air (Natural gas)",,"Public Transit","$941.53",,"https://cdn.realtor.ca/listing/TS637522836042630000/reb82/highres/2/w5166692_1.jpg"
"C5167354","Brand New, Never Been Lived In Unit. Functional Split Bedroom Design W/ Parking & Locker At Wilson/Allen Rd. Steps To Wilson Subway. Easy Access To Hwy 401, Allen Rd, Yorkdale, York University, Humber River Hospital, Grocery Stores, Shops, Restaurants, Costco & Parks. Unit Features Custom L-Shaped Kitchen Cabinetry W/ Kitchen Island/Dining, Wide Plank Laminate Flooring, Additional Lighting & Blinds. Exceptional Amenities On-Site. Move-In This Spring.**** EXTRAS **** Laminate Flooring, 2-Tone Kitchen, Integrated Dishwasher, S/S Fridge, Stove/Oven W/ Range, Kitchen Island W/ Stone Countertop & S/S Microwave. Stacked Washer/Dryer. Additional Lighting & Blinds. Dropped Ceilings. Buyer Assumes Unit As-Is. (28146832)","2","2",,"Apartment","Storage - Locker, Security/Concierge, Party Room, Exercise Centre","#239 -31 TIPPETT RD|Toronto, Ontario M3H0C8","-79.4456805","43.7334566","M3H0C8","Clanton Park","$579,900 ","Single Family","1","Condominium/Strata",,,,"Forced air (Natural gas)",,"Hospital, Park, Public Transit, Schools","$0",,"https://cdn.realtor.ca/listing/TS637522861500170000/reb82/highres/4/c5167354_1.jpg"
"W5167168","Welcome To Uptown Living; Transit And Shopping Driven Toronto! This Contemporary North Facing 2 Bedroom 2 Bathroom Features A Functional Living Space, Upgraded Appliances, A View With No Obstruction Surrounded By Transit, Shopping Malls, Schools And Much More! The Property Boasts Floor To Ceiling Windows, Lots Of Sunlight, Natural & Neutral Colour Swatch With Granite Counter Tops, Glass Backsplash And So Much More!**** EXTRAS **** Steps To Subway Station, 2 Minutes From Highway 401, 2 Minutes From Yorkdale Mall. Vibrant Upcoming Neighbourhood. Stainless Steel Appliances, White Washer & Dryer. Window Coverings, Electric Light Fixtures. Includes 1 Parking & 1 Locker. (28147222)","2","2",,"Apartment","Storage - Locker","#1005 -160 FLEMINGTON RD|Toronto, Ontario M6A1N6","-79.4479298","43.7229883","M6A1N6","Yorkdale-Glen Park","$499,990 ","Single Family","1","Condominium/Strata",,,,"Forced air (Natural gas)",,,"$2,350.84",,"https://cdn.realtor.ca/listing/TS637522836487730000/reb82/highres/8/w5167168_1.jpg"
"C5166284","Welcome To This Immaculate 2+Den Located Just Steps From Finch Subway Station! This Exceptionally Well Maintained Home Is Move-In Ready! Open Concept Living Area With Lots Of Natural Sun Light. Huge Master Bedroom Ensuite With Walk-In Closet.  Den Can Be Used For Home Office Or Additional Bedroom. Amenities: Indoor Pool, Squash Court, Gym And Billiards, & More. Walking Distance To Public Transit, Restaurants, Banks & All Yonge/ Finch Amenities.**** EXTRAS **** Stove, Dishwasher, Fridge, Rangehood, Washer & Dryer.  All Elfs, Existing Window Coverings. 1 Parking. (28142754)","2","2 + 1",,"Apartment","Party Room, Security/Concierge, Exercise Centre","#705 -5785 YONGE ST|Toronto, Ontario M2M4J2","-79.4154406","43.783712","M2M4J2","Newtonbrook East","$568,000 ","Single Family","1","Condominium/Strata",,,,"Forced air (Natural gas)",,"Park, Public Transit, Schools","$1,583.22",,"https://cdn.realtor.ca/listing/TS637522573473700000/reb82/highres/4/c5166284_1.jpg"
"C5166313","3 Years Old """"Fifth On The Park"""" At Prestige Emerald City. Spacious & Functional 2 Bedrooms Layout, Spectacular Unobstructed Views, 9' Ceilings, Floor To Ceiling Windows, Laminated Floor Thru-Out. Minutes To Don Mills Subway Station, Hwy 401/404, Fairview Malls,Parkway Forest Community Centre, Supermarket, Restaurants. Great Building Amenities: Visitor Parking, Indoor Pool, Hot Tub, Yoga Room ,Fitness, Out Door Patio, Gym.**** EXTRAS **** S/S Fridge, S/S Stove, B/In Dishwasher, B/In Microwave/Range Hood; White Stacked Washer And Dryer; All Elf, All Existing Window Coverings """"As Is"""". (28142789)","2","2",,"Apartment","Storage - Locker, Security/Concierge, Party Room, Exercise Centre","#207 -50 FOREST MANOR RD|Toronto, Ontario M2J1M6","-79.3454116","43.7727155","M2J1M6","Henry Farm","$599,000 ","Single Family","1","Condominium/Strata",,,,"Forced air (Natural gas)",,,"$2,194.91",,"https://cdn.realtor.ca/listing/TS637522573482600000/reb82/highres/3/c5166313_1.jpg"
"C5165471","Welcome To Turnberry Court. Great Location! Best Value In Area! This 2 Bed, 2Bath Condo Plus Den Is On The Second Floor. No Need For Elevators! Spacious, Bright Unit With Renovated Kitchen, Bath. Private, Quiet Unit Faces South. Building Tucked Away From Yonge So No Noise From Traffic. Tons Of Amenities. (Gym, Squash Courts, Outdoor Pool With Bbq's, Sauna, Jacuzzi, Party Room) Steps To Subway, Go, Shops, Grocery And Restaurants. Close To Highway.**** EXTRAS **** Incl: Washer Dryer Stove Dishwasher And Fridge, All Elfs And Blinds Hot Water Tank (Rental) Parking (Exclusive Use) Excl: None (28140135)","2","2 + 1",,"Apartment","Storage - Locker, Party Room, Sauna, Exercise Centre","#209 -5795 YONGE ST|Toronto, Ontario M2M4J3","-79.4150888","43.7844187","M2M4J3","Newtonbrook East","$599,900 ","Single Family",,"Condominium/Strata",,,,"Forced air (Natural gas)",,,"$1,751.13",,"https://cdn.realtor.ca/listing/TS637522064014670000/reb82/highres/1/c5165471_1.jpg"
"C5165408","Welcome To The Ravine Community, Set On A Magnificent 13 Acres Site In The Parkwoods-Donalda Neighbourhood. Connected To Brookbanks Park Through A Network Of Hiking Trails. Remarkable 24Storey Glass & Stone Base Tower W/ 12 Storey Podium. Sun-Filled 1+Den Unit. 1 Baths, Located South Of 401 W/ Easy Access To Dvp, Ttc's Don Valley/Downtown Express Bus Service Right At Your Doorstep. Under Construction & No Taxes Assessed**** EXTRAS **** Cecconi Simone Custom Designed Gourmet Kitchen, Spa Like Baths,6 Appl, S/S Fridge, Stove, D/W & Microwave.White Washer & Dryer. Wide Plank Laminate Flrs. Floor To Ceiling Low E Windows. Pictures Are Not Actual And Unit Still U  Construction (28140056)","1","1 + 1",,"Apartment","Storage - Locker","#603 -1215 YORK MILLS RD|Toronto, Ontario M3A1Y4","-79.3320731","43.7591906","M3A1Y4","Parkwoods-Donalda","$499,000 ","Single Family",,"Condominium/Strata",,,,"Forced air (Natural gas)",,,"$0.01",,"https://cdn.realtor.ca/listing/TS637522063990430000/reb82/highres/8/c5165408_1.jpg"
"C5164014","Welcome To Beautiful Tridel Luxury """"Trio At Atria"""" Condo! 1 Bedroom + Den Unit With 9 Ft. Ceiling, Unobstructed South East View! Open Concept Design Layout! All Brand Name Stainless Steel Appliances, Granite Counter-Top With Backsplash In Kitchen. Mins To Fairview Mall, Highway 404, Ttc/Subway, North York General Hospital & Amenities Include, 24 Hr Concierge Service, Fitness/Yoga Studio, Theater And Much More...**** EXTRAS **** S/S Appliances-Fridge, Stove, Dishwasher, Washer & Dryer, All Existing Elfs & Window Coverings.1 Parking+1 Locker! (28137041)","1","1 + 1",,"Apartment","Storage - Locker, Party Room, Security/Concierge, Exercise Centre","#2006 -50 ANN O'REILLY RD|Toronto, Ontario M2J0A8","-79.3300708","43.7747319","M2J0A8","Henry Farm","$499,000 ","Single Family","1","Condominium/Strata",,,,"Forced air (Natural gas)",,"Public Transit","$1,679.17",,"https://cdn.realtor.ca/listing/TS637521966374370000/reb82/highres/4/c5164014_1.jpg"
"C5165240","Live In A Condo With A Backyard!  Corner Unit With Tons Of Light!  13' Ceiling In Dining Room/Solarium With Walkout To Yard.  Wonderfully Sized Rooms. Fabulous Resort Like Facilities, 24 Hour Concierge. Public Transportation Just Outside Your Door. Close To Park, Shopping, Highway. Easy Access To All Of Toronto. Move In And Just Enjoy!**** EXTRAS **** Fridge, Stove, Dishwasher, Washer, Dryer, Blinds, Light Fixtures. (28138397)","1","1 + 1",,"Apartment","Storage - Locker","#104 -5 CONCORDE PL|Toronto, Ontario M3C3M8","-79.3272765","43.7303213","M3C3M8","Banbury-Don Mills","$499,000 ","Single Family","1","Condominium/Strata",,,,"Forced air (Natural gas)",,,"$1,517.25",,"https://cdn.realtor.ca/listing/TS637521967173770000/reb82/highres/0/c5165240_1.jpg"
"C5164523","Gorgeously Renovated Open Concept 2 Bedroom (Original 1+Den Conversion) Condo, High Quality Laminate Floors T/Out, Renovated Bath With Deep Soaker Tub, Open Concept Kitchen With Quartz Countertop, S/S Appliances, Pot Lights, Beautiful Centre Island With Barstools, Earth-Tone, Designer Colours, W/Out To Open Balcony - Unobstructed, Fantastic View. Absolute Move In Ready! Maint. Fee Includes All Utilities. On Sheppard Ttc Line**** EXTRAS **** Building Has Convenience Store And Direct Access To North York's Largest, Fully Equipped Rec Centre.  Incl: Aelf, Fridge, Stove, B/I Dish Washer, Washer, Dryer, Block Out Blind In Bedroom, Two Barstools In Kitchen. Excl: Curtains And Rods. (28137554)","1","2",,"Apartment","Car Wash, Party Room, Exercise Centre","#1804 -5 OLD SHEPPARD AVE|Toronto, Ontario M2J4K3","-79.336843","43.7772653","M2J4K3","Pleasant View","$449,900 ","Single Family","1","Condominium/Strata",,,,,,,"$1,445.28",,"https://cdn.realtor.ca/listing/TS637521966562670000/reb82/highres/3/c5164523_1.jpg"
